N,heterogeneity,bw,network,baseline,n_windows,rmse_mean_delta_mean,rmse_mean_delta_ci95,loss_mean_delta_mean,loss_mean_delta_ci95,missed_violation_pct_delta_mean,missed_violation_pct_delta_ci95,choice_fairness_delta_mean,choice_fairness_delta_ci95,avg_aoi_delta_mean,avg_aoi_delta_ci95
3,high,1,burst,error_trigger,21,0.01618125431743362,0.006299701295193131,-0.04261336382139272,0.00911922217434341,-0.5309385954547245,0.13478386445563864,0.008680185267317947,0.004665146066047147,-0.7620701878766395,0.2274741804168143
3,high,1,burst,generic_voi,21,0.01861490393107342,0.006203900716344504,-0.04190617390367342,0.008610612170980948,-0.5411792508566701,0.12824110419573811,0.008017633738536326,0.004561921839457123,-0.10802315963606286,0.22055848785716126
3,high,1,burst,cvoi_sf,21,-0.038698583213634764,0.008527843408514663,-0.050520679498140986,0.010015861289591081,-0.6498877466619403,0.14415641006180696,-0.03580377510156975,0.012358525773798684,3.677466619402103,0.5739688537685937
3,high,1,burst,oracle,21,-0.012571788253391397,0.0058834007027332305,0.00685597498068765,0.002421551414756104,0.08822718500137854,0.03651429173571257,0.016196096993860203,0.0036080637300361603,-0.6478790027177125,0.21200588978018037
3,high,1,severe_burst,error_trigger,21,0.02148834507201522,0.010966616706412467,-0.04093070660686315,0.00802044108012406,-0.5411792508566702,0.13172655920927248,0.01731334660634493,0.006763863341777902,-1.1637165701681833,0.303802904041457
3,high,1,severe_burst,generic_voi,21,0.02128398363276371,0.0109275189672956,-0.03960546549623647,0.00766515844172216,-0.5206979400527788,0.12157767317452108,0.016299084852274614,0.006443831370931366,-0.35333412107605655,0.17905249538285697
3,high,1,severe_burst,cvoi_sf,21,-0.02045832071802683,0.013263572387953577,-0.049070118989293136,0.009710024925868081,-0.619165780456103,0.14764638842334213,-0.019980054574445967,0.008559228019257528,3.661766906928197,0.6124739453723319
3,high,1,severe_burst,oracle,21,-0.009307495637018773,0.009863237519579326,0.012552489199231702,0.004444647843480433,0.17645437000275713,0.07316555498934348,0.024979368271620245,0.006439603756298853,-1.0643113159242195,0.31620478164193433
3,low,1,burst,error_trigger,21,0.009693414454896552,0.004093261055994124,-0.019609480258805698,0.004103293475702351,-0.2741344676828548,0.06582662289374577,0.007172149938933326,0.0025238601275263746,-0.8586395683169876,0.3056060584025888
3,low,1,burst,generic_voi,21,0.011914613863585225,0.004300376080322329,-0.018726590356267066,0.0038466188493529,-0.2623183268344559,0.06289877459182831,0.005071417473934205,0.001960154547874874,0.41340738114931674,0.3038052003799666
3,low,1,burst,cvoi_sf,21,-0.04895656077375359,0.008869856521391502,-0.030373646732684417,0.005125317298880324,-0.38284296348812485,0.07686766594666031,-0.019682550818628138,0.006702352810300362,7.073283705541771,0.7815338134577384
3,low,1,burst,oracle,21,-0.002977271210998061,0.0055904408663235775,0.002023755107341637,0.0012551933722473511,0.029934223482610576,0.019584770804386843,0.007494605973174566,0.002602984317210427,-0.8593879239040528,0.2597455545339774
3,low,1,severe_burst,error_trigger,21,0.019628423271736684,0.008718594030051268,-0.020815464821517898,0.007499071570836848,-0.29934223482610584,0.12168644736574881,0.01461051818522712,0.004757389361001175,-1.4526369687660012,0.39563787543022133
3,low,1,severe_burst,generic_voi,21,0.018664882651493655,0.008687915730632812,-0.019522378074962616,0.006909394935574677,-0.275709953129308,0.11288141669231136,0.013444315384889221,0.004359749200745909,-0.4238055850959078,0.4262139140606867
3,low,1,severe_burst,cvoi_sf,21,-0.02917799984046456,0.013118263312329273,-0.02804023319743447,0.0064557431944489594,-0.3450313127732483,0.09517079471193353,-0.012938643202266368,0.004797007600416428,6.815329473393989,0.8680976102378886
3,low,1,severe_burst,oracle,21,0.0026029273508069847,0.014178366262219229,0.006540376920731504,0.0023298590946773286,0.09374138406396468,0.033735074902352814,0.014890070710439981,0.0046141786795329594,-1.4466895112056406,0.39695960734233343
3,medium,1,burst,error_trigger,21,0.006507208747443998,0.0034588974481849755,-0.020289011569582727,0.005364389203549772,-0.2796486667454409,0.0869698385337504,0.00684832050390362,0.0026504911845821127,-0.8439087793926503,0.28945147625207013
3,medium,1,burst,generic_voi,21,0.008965624768727127,0.0034956919558502128,-0.020380599228603646,0.004737860820882296,-0.28358738036157394,0.07641042175248283,0.00620125064627341,0.0024495353704107434,0.1616526842333293,0.1458870077980484
3,medium,1,burst,cvoi_sf,21,-0.053380487471742774,0.007517496175088775,-0.03137408650775869,0.005394015739541274,-0.39465910433652374,0.08123718981174857,-0.011934570220606797,0.008860572766749765,4.9113474339280785,0.6001356450566121
3,medium,1,burst,oracle,21,-0.0047778209512613305,0.0057468703445266,0.0018405143720734891,0.0009976437129032623,0.027570995312930804,0.016339903327225486,0.006831134316767856,0.0026869131448016195,-0.8621686557170427,0.2990405015748236
3,medium,1,severe_burst,error_trigger,21,0.013987407744964259,0.009014322402229429,-0.01928994930366788,0.006752653970556318,-0.2631060695576825,0.1075343355280945,0.010130530402051993,0.004106338728516855,-1.0969632518019614,0.3608155976231982
3,medium,1,severe_burst,generic_voi,21,0.01610270872752309,0.008843071776812967,-0.020159549292165947,0.006604242014693342,-0.27807318129898784,0.1041697442991175,0.010192642989340226,0.004420459097001105,0.015550041356492966,0.22081950239036013
3,medium,1,severe_burst,cvoi_sf,21,-0.03343798973435553,0.013575042149030653,-0.0285384367042572,0.005845708361027333,-0.3213990310764505,0.08524508035224053,-0.007240799431755585,0.006724596442184195,5.10794438536374,0.6887273902969242
3,medium,1,severe_burst,oracle,21,-0.0028390259179460185,0.014245106004501882,0.0068857008773927164,0.0031813677964992204,0.11107172397494977,0.05112635007602499,0.009883798125738849,0.004374008709707632,-1.1240064594903303,0.35605377955575673
6,high,2,burst,error_trigger,21,0.03825737315527852,0.0028575875778352453,-0.017740855564820142,0.006226293043814078,-0.25522864232541653,0.09230115014077069,0.009846089792645542,0.0031366852763703335,-6.3155382252156445,1.2220792606470134
6,high,2,burst,generic_voi,21,0.03796272680092576,0.0027400780015656755,-0.01747742161885804,0.005453383442519651,-0.25050218598605695,0.08165208797130148,0.010100084372942922,0.0031233667056725337,-4.6452558194493685,0.9287531947150539
6,high,2,burst,cvoi_sf,21,-0.042128814552638214,0.004525330005850869,-0.029584874903210972,0.005016039057460804,-0.37890424987199184,0.0697528527038638,0.004865136355379033,0.0012189223008380566,1.086643822127693,0.060178294931276556
6,high,2,burst,oracle,21,0.03405647877893282,0.001967155887680798,0.00046497737393933803,9.588524859803226e-05,-0.0003938713616132968,0.0007719878687620617,0.009483714651869358,0.0030653021381767914,-6.3842530229627,1.260791942038539
6,high,2,severe_burst,error_trigger,21,0.04707063815944267,0.00431652034940347,-0.016385706026420196,0.006639884760343133,-0.24183701603056448,0.09654016193959229,0.008809202267380531,0.0027087860396148846,-6.869431643625192,1.302065901369798
6,high,2,severe_burst,generic_voi,21,0.0465723340829681,0.004092137777238548,-0.01625899788653113,0.006346190583855887,-0.24301863011540425,0.09561249737984322,0.009479784544159663,0.002882866989914956,-5.590456496908109,1.163788502937698
6,high,2,severe_burst,cvoi_sf,21,-0.025182046078019712,0.005021105824531577,-0.030271657048182677,0.005631467459331023,-0.37969199259521835,0.07881122785124291,0.004339407514291526,0.0009001465230356499,1.0422348261057939,0.05675322779440586
6,high,2,severe_burst,oracle,21,0.04371834857678686,0.003939010420135652,0.0012549762050455275,0.0008563739199620341,0.0007877427232265937,0.01613066758291778,0.00851146161301341,0.0026437697575413394,-6.90226082161566,1.3136260764844139
6,low,2,burst,error_trigger,21,0.037720452514929975,0.002517217294998769,-0.013758342681814353,0.005467161632283501,-0.20363149395407457,0.07755923571299936,0.04241529157666783,0.007955562078182913,-11.204056875024616,1.685921515599515
6,low,2,burst,generic_voi,21,0.03870262633193528,0.0026137944761253883,-0.013550419372454301,0.005050381025094946,-0.2032376225924613,0.07170765890323184,0.03977688821643624,0.007782207459579116,-9.426247587537912,1.3298334679820003
6,low,2,burst,cvoi_sf,21,-0.04572691850790088,0.005811711785845339,-0.026939579072902904,0.005242041335899497,-0.3489700263893813,0.07365387334567947,0.002287155315955675,0.0007943087513999944,1.1435661113080466,0.05624977917216151
6,low,2,burst,oracle,21,0.037108016773893505,0.002733493135614419,0.0005379669119233747,0.0002150483534585495,-1.6521175961683876e-18,0.0031642086732491716,0.0424724266664917,0.00793867622958806,-11.113639765252668,1.7012456585873041
6,low,2,severe_burst,error_trigger,21,0.04730211316497304,0.003768333366401792,-0.014434014033038386,0.00657713539754839,-0.21662924888731339,0.09135621068556911,0.035919042887040745,0.007322041750324606,-11.998314230572294,1.702033757540107
6,low,2,severe_burst,generic_voi,21,0.04762797275491032,0.0032891324252492,-0.014922041393052855,0.006495309155273846,-0.22096183386505963,0.0908170807415097,0.03381295155512559,0.0070885379786057145,-10.071085903343969,1.519006505967805
6,low,2,severe_burst,cvoi_sf,21,-0.024825074359334162,0.005382155264605923,-0.029369171769478467,0.0055587243831174355,-0.3781165071487652,0.0812756952836454,0.0020851112810430293,0.000669331251182314,1.0970814132104454,0.07071801818038942
6,low,2,severe_burst,oracle,21,0.04443498114361473,0.004372549562644289,0.001827942738492817,0.0008737484861673607,0.010240655401945712,0.013605396455510024,0.0364097433722122,0.0074434216850005185,-12.006581590452559,1.7402440813491156
6,medium,2,burst,error_trigger,21,0.039873545580298375,0.00172998683849964,-0.017647071078228882,0.007093639464321517,-0.26192445547284254,0.10573105943406724,0.012985245827229982,0.0038146360398070315,-8.073047382724804,1.4020555175811187
6,medium,2,burst,generic_voi,21,0.04025936414644475,0.0016579699458023603,-0.01662261336386495,0.006379359139745834,-0.2434125014770176,0.09222169794402509,0.01188179862988204,0.003592165758452976,-6.4053527118043245,1.1791986452852306
6,medium,2,burst,cvoi_sf,21,-0.04393517597680398,0.00429542838309926,-0.027339712685708725,0.0052791941321802425,-0.34857615502776795,0.07650980111570646,0.0033201960184984277,0.0010352938456238236,1.095387766355508,0.060232132216428265
6,medium,2,burst,oracle,21,0.038698690724624674,0.0024207603627545565,0.00043795726176147723,0.0001412817630292048,-0.0015754854464531908,0.0014234752953085263,0.012770482367749364,0.0037665575975851713,-8.057469770372997,1.4038518055439888
6,medium,2,severe_burst,error_trigger,21,0.046235502116006674,0.0030098089091364936,-0.01904584646718473,0.007915399904269272,-0.2820118949151207,0.1137845697119864,0.012270475997480615,0.003369458259201565,-8.73968253968254,1.4218235050786836
6,medium,2,severe_burst,generic_voi,21,0.04674889598200198,0.0029908083522060206,-0.016781002012458107,0.006749261245242676,-0.2461696010083107,0.09666323955659867,0.010645416977475987,0.0030652223272363195,-7.132222616093584,1.2681808844667488
6,medium,2,severe_burst,cvoi_sf,21,-0.0258985635502644,0.005380037461462674,-0.030216662400272105,0.005433229082432895,-0.3808736066800583,0.08004475633067615,0.002873340587754141,0.0008026960030199866,1.056544172673205,0.05841368051001952
6,medium,2,severe_burst,oracle,21,0.04437128583699211,0.004430459550529686,0.001781032430792529,0.001144682961069681,0.008665169955492541,0.020520941972527927,0.012406315353526855,0.003686836119358583,-8.630296585135293,1.4353713483090655
9,high,3,burst,error_trigger,21,0.050697648016149885,0.0035156768509339263,-0.024070889790323013,0.005155842522274489,-0.3450313127732483,0.07176691983934756,0.01350150841119985,0.0035898446743868866,-6.598868276287631,1.2784220059233484
9,high,3,burst,generic_voi,21,0.05105817659810417,0.003402797737207843,-0.024416394843901908,0.004681725473102322,-0.3468693791274437,0.06418269153186391,0.013853267477290331,0.0037507692677505706,-5.072963356834324,1.0119170985029935
9,high,3,burst,cvoi_sf,21,-0.029371764149235098,0.005007531354897259,-0.04016956118129087,0.005441660021491972,-0.5164966455289035,0.07287354671584624,0.005023024458593367,0.0010016030816828202,1.075618049811598,0.05342172617070922
9,high,3,burst,oracle,21,0.047037923808644126,0.004073575751718066,0.0008067261480609227,0.00015507476666594536,0.0005251618154843971,0.0027810618171931,0.014994397666343473,0.004138835935770343,-6.812196883164624,1.2963361792716954
9,high,3,severe_burst,error_trigger,21,0.055035447956865186,0.0038246933748593255,-0.02527910814062187,0.0065310147670809325,-0.38179263985715606,0.09503432310326318,0.011556584001081737,0.0029741164598000897,-7.330886079273176,1.3450511500643632
9,high,3,severe_burst,generic_voi,21,0.053908220982069516,0.003963965719960291,-0.024760712229980372,0.006444749527924517,-0.3715519844552103,0.0974146868026748,0.011777895286302888,0.002980827725982822,-5.679228537293053,1.0386955099877762
9,high,3,severe_burst,cvoi_sf,21,-0.017116325350050338,0.004950722152485282,-0.04108723994596193,0.005427395501249846,-0.5327766618089199,0.07543936307420313,0.0046266121847742415,0.0010527036575202645,1.0423963133640552,0.048570051877375266
9,high,3,severe_burst,oracle,21,0.05089223344624219,0.0039542148502980535,0.0011488597628096094,0.0005984933488899866,-0.001312904538711008,0.011134956820957881,0.013283253834710105,0.0034779251464061777,-7.170097286226318,1.277413901689007
9,low,3,burst,error_trigger,21,0.0551457998442,0.0036307377538785813,-0.015172606036522105,0.005761287520969069,-0.221355705226673,0.08044493897432041,0.0474664294119692,0.008892581531125333,-12.561671064896874,1.7503492112092731
9,low,3,burst,generic_voi,21,0.05537303637633027,0.0035194249991120172,-0.014616928146239713,0.005558964028248594,-0.216104087071829,0.08056700203435338,0.044604859058990184,0.008411408431378452,-10.347696508986832,1.4482086326042778
9,low,3,burst,cvoi_sf,21,-0.035846302715216515,0.0062211918090475295,-0.025806305746244113,0.0045201047802594764,-0.33216484829388054,0.06117881417595761,0.0023513534973933067,0.0006981687940098404,1.0792416663384408,0.05045506569613545
9,low,3,burst,oracle,21,0.05425436215138737,0.004190822434929234,0.0006089178545696682,0.0002456665657275614,0.0010503236309687943,0.0041937569418176585,0.04697336690187241,0.008690491391604178,-12.687507713314165,1.8044647379701457
9,low,3,severe_burst,error_trigger,21,0.05675234482348467,0.004058995804692026,-0.016565766807803483,0.0062997798016337985,-0.25864219412606504,0.0921247482245127,0.038465776534818745,0.00764541844144765,-13.468990507700187,1.9660502852929775
9,low,3,severe_burst,generic_voi,21,0.05727976435721097,0.003637478032015534,-0.016502592686074794,0.006272967294432044,-0.26100542229574486,0.0951525634119499,0.03660719406436053,0.007337930487807972,-11.46666404085759,1.6477193256990805
9,low,3,severe_burst,cvoi_sf,21,-0.02076237129093758,0.0062832212368515005,-0.03049962616282767,0.006616557025644761,-0.4014862079378209,0.09584360576248117,0.0025784652054850134,0.0006089912164282313,1.0354090354090355,0.044190539181389966
9,low,3,severe_burst,oracle,21,0.055272737981699814,0.0051175727349844526,0.0008833633026297274,0.0005311054480359104,-0.004201294523875167,0.007854236260210937,0.0379545737346895,0.007559086878152529,-13.475562907820972,2.0356387395370006
9,medium,3,burst,error_trigger,21,0.055872057540312776,0.0034358436823754826,-0.021398162414685888,0.0065383066309427544,-0.304856433888692,0.09529220124731198,0.016056758411818032,0.00464443197855328,-8.765100371551986,1.3480007058570815
9,medium,3,burst,generic_voi,21,0.056213637053360986,0.0032983043522493488,-0.021838771270359367,0.006327115382372441,-0.3143093465674111,0.0891548509876044,0.013986078044389973,0.004113828715205185,-6.762471936665484,1.0728912918379805
9,medium,3,burst,cvoi_sf,21,-0.03145854400701691,0.005689370946858219,-0.035557356823510945,0.005952584225459628,-0.47422111938240963,0.08442173573840711,0.0031404524546635977,0.0008125502616704872,1.0672075833366155,0.050682110721769064
9,medium,3,burst,oracle,21,0.05236071225169072,0.003245706917320502,0.0007282569469068555,0.00022536285349927348,0.0,0.0022374334099437773,0.014592463481563591,0.004280274178701965,-8.66072446072446,1.382412005918834
9,medium,3,severe_burst,error_trigger,21,0.060400913277288595,0.004398765331419265,-0.02250269350784915,0.007195067539076302,-0.3321648482938806,0.10781010131549773,0.014992414603923516,0.0041777668308740894,-9.614940853650532,1.5438146292293642
9,medium,3,severe_burst,generic_voi,21,0.06011498450708686,0.004345323693527101,-0.02162297733989422,0.007218249404691997,-0.32244935470741926,0.10698847023789658,0.013279144322277054,0.003921555958370936,-7.635104441556054,1.228922967898727
9,medium,3,severe_burst,cvoi_sf,21,-0.015249934148197015,0.006558984627536112,-0.03630877701479074,0.006841106384285756,-0.46844433941208136,0.09652558514136717,0.00306699715506707,0.0006146163347630159,1.0403245500019693,0.048841544593496905
9,medium,3,severe_burst,oracle,21,0.05592100538409827,0.0058241919221930115,0.0012196173268991361,0.0006782568545077156,-0.002625809077421987,0.010457831935562727,0.013347181939727832,0.004163881916774105,-9.50124069478908,1.5463790321140687
12,high,4,burst,error_trigger,21,0.06375107279115351,0.0033240184484345293,-0.028569983154231933,0.01038208944429311,-0.4177005789909017,0.15154172988737466,0.011494877850755472,0.0034079739471633156,-7.132352593642916,1.3552681402423374
12,high,4,burst,generic_voi,21,0.06371580678107905,0.0034391019941008446,-0.028086413878035777,0.009472512982087275,-0.4058844381425027,0.13718574142203052,0.011574200052916686,0.003543826705856378,-5.265681988262634,0.9667743862154412
12,high,4,burst,cvoi_sf,21,-0.020557496066911582,0.005840792714049876,-0.03999029399407027,0.007340242237578678,-0.5281814959234313,0.09986879776978154,0.005153746133682257,0.0012102287310637061,1.12013667336248,0.062169941121184125
12,high,4,burst,oracle,21,0.05993422576515333,0.0033879310687000494,0.0008602467096421536,0.00017003856393354167,-0.0017724211272598417,0.0025370110190479182,0.013025611606432315,0.003906721885644808,-7.102891015794241,1.4270395447320536
12,high,4,severe_burst,error_trigger,21,0.06820089740102887,0.003305858625249496,-0.029421763401935634,0.012729239154514401,-0.44783173815431876,0.1988966480557766,0.010038969251315517,0.0027390865296915002,-7.653121430540783,1.431946716219423
12,high,4,severe_burst,generic_voi,21,0.0679716826585206,0.003364864386794377,-0.029093562799942373,0.011026959206519858,-0.43877269683721287,0.1691103258371624,0.00991513840807207,0.0028620435336551035,-6.0037949505691435,1.0950241286652398
12,high,4,severe_burst,cvoi_sf,21,-0.010506100390819775,0.004685193862879859,-0.040922682347976774,0.007317374832320894,-0.5313324668163378,0.09970649956539114,0.004563931831556049,0.001106052674423879,1.0988046004175036,0.060781647567290494
12,high,4,severe_burst,oracle,21,0.06650039701111547,0.0033724101500400496,0.00042067317048918233,0.0007033436102884476,-0.021859860569537978,0.01387324705287572,0.011234175242356407,0.0032648893579731043,-7.814781992201349,1.463834363760944
12,low,4,burst,error_trigger,21,0.06998357679154572,0.004432753355059714,-0.012879342418969,0.004979405988151182,-0.20304068691165464,0.07683373850060335,0.052392647639734925,0.009259285433282268,-13.597786442947733,1.826769936489879
12,low,4,burst,generic_voi,21,0.07016123103386548,0.004423059059152035,-0.012530074229784992,0.004326498927370065,-0.19713261648745523,0.0677339622054545,0.049260949532826025,0.00878986845800223,-11.012938674228995,1.4236827260370573
12,low,4,burst,cvoi_sf,21,-0.023271077842061328,0.007625358235219619,-0.024365126319575443,0.0037232849820455776,-0.31430934656741105,0.050892389048384744,0.0020569525030966866,0.0006017215455674484,1.0794812714167552,0.05873063973318855
12,low,4,burst,oracle,21,0.06906777099368651,0.004181356629947826,0.0005722375189966452,0.0001258640565280426,-0.0003938713616132995,0.0017604031928743255,0.052673054285623945,0.009208099533694947,-13.730042538107053,1.8537794847619484
12,low,4,severe_burst,error_trigger,21,0.07142218984097914,0.004446347988714242,-0.014543282043417219,0.005707167112540007,-0.23573200992555823,0.08872135865450378,0.0434952861532654,0.008466760616949974,-14.125717830556539,1.9985755320199405
12,low,4,severe_burst,generic_voi,21,0.07181783781051528,0.0042017698919741,-0.013867291548625921,0.005423217860681903,-0.22253731931151288,0.08254017974533331,0.040476577875608925,0.007865590006416097,-11.748743550356451,1.545884482919894
12,low,4,severe_burst,cvoi_sf,21,-0.011644606671640674,0.006470437311697178,-0.026750282912511882,0.004368978652844876,-0.3460159911772815,0.059907079344839374,0.0023333930401651898,0.000615763015143432,1.0824707550514001,0.057273991592963994
12,low,4,severe_burst,oracle,21,0.07123426497236164,0.004177632141549991,0.0008385853126479665,0.00046091171709626273,-0.001772421127259839,0.007326770888436113,0.04353691137808084,0.008443417835183549,-14.11050848792784,2.000594263566182
12,medium,4,burst,error_trigger,21,0.06844088644811461,0.004199197884108517,-0.015457904991304101,0.006001510386367249,-0.24006459490330462,0.09235932325050954,0.018759005183009863,0.0052086773540978475,-9.172881956752926,1.4242197159518146
12,medium,4,burst,generic_voi,21,0.06857772936688891,0.004264370865915532,-0.015869198276226876,0.005428786350853838,-0.24400330851943752,0.08057090598506794,0.016169070379956678,0.004609952039966513,-7.29008034975777,1.2849406714060199
12,medium,4,burst,cvoi_sf,21,-0.021319771128412508,0.006776078738744491,-0.02844320384768717,0.004398378776116373,-0.37673795738311877,0.06071526311060447,0.002889295610777067,0.0007920046732690088,1.0798180314309345,0.06253415867386672
12,medium,4,burst,oracle,21,0.06582305605063536,0.0040009717844621375,0.0006731519521607461,9.483860744702939e-05,0.0003938713616132968,0.0011053184167955272,0.018413711105640655,0.005107335502132881,-9.130580172515657,1.5042516838965494
12,medium,4,severe_burst,error_trigger,21,0.07211896090162635,0.003080281518675436,-0.019589845883289787,0.007267978728459848,-0.31135531135531136,0.11351135944678996,0.01740868269648806,0.004839513489695866,-10.127035330261137,1.5916753277326643
12,medium,4,severe_burst,generic_voi,21,0.07239864992501917,0.003076185421815499,-0.018349886085190854,0.006557999636769354,-0.29205561463625984,0.10204492668459209,0.015116100711967265,0.004179228991209037,-7.827884123045415,1.2843709024129788
12,medium,4,severe_burst,cvoi_sf,21,-0.010899007342224695,0.0056784464940633885,-0.03182748282837261,0.0048290377898486106,-0.4267596203080074,0.06844228674526495,0.0029264494765460884,0.0007138151296901802,1.0858166922683052,0.06250374689656764
12,medium,4,severe_burst,oracle,21,0.06978831068543387,0.003405361601809758,0.0009082123691220275,0.00038052971171076395,-0.0035448422545196795,0.00605776868743227,0.017132298695230516,0.004651139435864329,-10.127657647012484,1.5914670275123755
