network,tau_J,kappa_J,n_windows,rmse_mean_mean,rmse_mean_ci95,loss_mean_mean,loss_mean_ci95,missed_violation_pct_mean,missed_violation_pct_ci95,choice_fairness_mean,choice_fairness_ci95
burst,0.97,35,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.98,35,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.985,10,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.985,20,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.985,35,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.985,50,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.985,70,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.99,35,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
burst,0.995,35,21,0.8172752155845531,0.050989762365682756,0.04679265626846272,0.006648836298483857,0.4687069203198236,0.0829159535260505,0.9999863493980685,1.2493081573525816e-05
severe_burst,0.97,35,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.98,35,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.985,10,21,1.0497144801722833,0.07028641223361402,0.0950446059317027,0.010903403800109495,1.0453345937216907,0.17827471575870182,0.999965736105444,2.995213370053347e-05
severe_burst,0.985,20,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.985,35,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.985,50,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.985,70,21,1.0491213002167012,0.07048829874344469,0.09512276478002285,0.010901749696593289,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.99,35,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
severe_burst,0.995,35,21,1.0493298073399178,0.07047739825242594,0.09512928827444957,0.010898576639100132,1.0461223364449173,0.17832084264124748,0.999965736105444,2.995213370053347e-05
