network,policy,n_windows,rmse_mean,rmse_mean_ci95,loss_mean,loss_mean_ci95,missed_violation_pct,missed_violation_pct_ci95,choice_fairness,choice_fairness_ci95,avg_aoi,avg_aoi_ci95
burst,b2croi_edge_metadata,10,0.78555183036494,0.05128273193019408,0.05487567204301075,0.01363476501610093,0.5889164598842018,0.2045051671696758,0.999997290808029,2.0818943259992075e-06,1.816989247311828,0.06461509959720381
burst,b2croi_gateway_forecast,10,4.448171463442888,0.3242522597877174,2.256748862696443,0.21295422609430517,32.13234077750207,3.1110642781049744,0.9175954571454499,0.04026670730770052,33.54856906534326,1.2254882340217323
burst,cvoi_sf,10,0.7793100474375518,0.05070706532128588,0.08388415012406948,0.015580485061442686,0.9611248966087675,0.20752441134161614,0.997955640633091,0.0005442853784456905,1.6193217535153017,0.05373913129771231
burst,error_trigger,10,0.7586101968752037,0.0509672639367467,0.0872808105872622,0.013347061916282023,1.0421836228287842,0.1907819291345478,0.62520695853835,0.013269600754855435,12.854011579818032,1.9021906906525503
burst,oracle,10,0.7858390996984085,0.05303663547086667,0.05294484077750207,0.013277057142298635,0.56575682382134,0.19991856696423804,0.6291177416230309,0.013910880348455846,12.840612076095947,1.878728095498504
severe_burst,b2croi_edge_metadata,10,0.9886626364442158,0.05273499680183394,0.10625620347394542,0.023784449401451423,1.1861042183622827,0.3223216781269417,0.9999838444180187,1.956717676833732e-05,2.8460876757650952,0.1649557037960136
severe_burst,b2croi_gateway_forecast,10,3.916018017755485,0.27651843540180826,1.7402507237386267,0.18261248755659937,24.65839536807279,2.5462715723434943,0.9887589749564432,0.004745864972466374,24.479950372208435,1.5495538830706264
severe_burst,cvoi_sf,10,0.9876161069471596,0.04850913779191963,0.13598014888337467,0.025537110964738263,1.5864350703060381,0.34956105120908953,0.9975705868857258,0.001308070718123231,2.592754342431762,0.14994911322955348
severe_burst,error_trigger,10,0.9742899626694645,0.04938072685032493,0.13745218155500413,0.0275234959323426,1.6244830438378828,0.3919474174374057,0.6519908062499841,0.01143893934499721,13.524648469809758,1.9370962874142603
severe_burst,oracle,10,0.996920440559153,0.05474765981236487,0.101690188172043,0.02234774354062163,1.1248966087675765,0.31680034481566094,0.6595424775628419,0.012269307974982588,13.502084367245658,1.9307522544687024
